'=Observacion	Vista_exterior	Temperatura	Humedad	Viento	*Jugar_tenis
1	1	1	1	1	0
2	1	1	1	2	0
3	2	1	1	1	1
4	3	2	1	1	1
5	3	3	2	1	1
6	3	3	2	2	0
7	2	3	2	2	1
8	1	2	1	1	0
9	1	3	2	1	1
10	3	2	2	1	1
11	1	2	2	2	1
12	2	2	1	2	1
13	2	1	2	1	1
14	3	2	1	2	0
15	1	1	1	1	0
16	1	1	1	2	0
17	2	1	1	1	1
18	3	2	1	1	1
19	3	3	2	1	1
20	3	3	2	2	0
21	2	3	2	2	1
22	1	2	1	1	0
23	1	3	2	1	1
24	3	2	2	1	1
25	1	2	2	2	1
26	2	2	1	2	1
27	2	1	2	1	1
28	3	2	1	2	0
29	1	1	1	1	0
30	1	1	1	2	0
31	2	1	1	1	1
32	3	2	1	1	1
33	3	3	2	1	1
34	3	3	2	2	0
35	2	3	2	2	1
36	1	2	1	1	0
37	1	3	2	1	1
38	3	2	2	1	1
39	1	2	2	2	1
40	2	2	1	2	1
41	2	1	2	1	1
42	3	2	1	2	0
43	1	1	1	1	0
44	1	1	1	2	0
45	2	1	1	1	1
46	3	2	1	1	1
47	3	3	2	1	1
48	3	3	2	2	0
49	2	3	2	2	1
50	1	2	1	1	0
51	1	3	2	1	1
52	3	2	2	1	1
53	1	2	2	2	1
54	2	2	1	2	1
55	2	1	2	1	1
56	3	2	1	2	0
57	1	1	1	1	0
58	1	1	1	2	0
59	2	1	1	1	1
60	3	2	1	1	1
61	3	3	2	1	1
62	3	3	2	2	0
63	2	3	2	2	1
64	1	2	1	1	0
65	1	3	2	1	1
66	3	2	2	1	1
67	1	2	2	2	1
68	2	2	1	2	1
69	2	1	2	1	1
70	3	2	1	2	0
71	1	1	1	1	0
72	1	1	1	2	0
73	2	1	1	1	1
74	3	2	1	1	1
75	3	3	2	1	1
76	3	3	2	2	0
77	2	3	2	2	1
78	1	2	1	1	0
79	1	3	2	1	1
80	3	2	2	1	1
81	1	2	2	2	1
82	2	2	1	2	1
83	2	1	2	1	1
84	3	2	1	2	0
85	1	1	1	1	0
86	1	1	1	2	0
87	2	1	1	1	1
88	3	2	1	1	1
89	3	3	2	1	1
90	3	3	2	2	0
91	2	3	2	2	1
92	1	2	1	1	0
93	1	3	2	1	1
94	3	2	2	1	1
95	1	2	2	2	1
96	2	2	1	2	1
97	2	1	2	1	1
98	3	2	1	2	0
99	1	1	1	1	0
100	1	1	1	2	0
101	2	1	1	1	1
102	3	2	1	1	1
103	3	3	2	1	1
104	3	3	2	2	0
105	2	3	2	2	1
106	1	2	1	1	0
107	1	3	2	1	1
108	3	2	2	1	1
109	1	2	2	2	1
110	2	2	1	2	1
111	2	1	2	1	1
112	3	2	1	2	0
113	1	1	1	1	0
114	1	1	1	2	0
115	2	1	1	1	1
116	3	2	1	1	1
117	3	3	2	1	1
118	3	3	2	2	0
119	2	3	2	2	1
120	1	2	1	1	0
121	1	3	2	1	1
122	3	2	2	1	1
123	1	2	2	2	1
124	2	2	1	2	1
125	2	1	2	1	1
126	3	2	1	2	0
127	1	1	1	1	0
128	1	1	1	2	0
129	2	1	1	1	1
130	3	2	1	1	1
131	3	3	2	1	1
132	3	3	2	2	0
133	2	3	2	2	1
134	1	2	1	1	0
135	1	3	2	1	1
136	3	2	2	1	1
137	1	2	2	2	1
138	2	2	1	2	1
139	2	1	2	1	1
140	3	2	1	2	0
141	1	1	1	1	0
142	1	1	1	2	0
143	2	1	1	1	1
144	3	2	1	1	1
145	3	3	2	1	1
146	3	3	2	2	0
147	2	3	2	2	1
148	1	2	1	1	0
149	1	3	2	1	1
150	3	2	2	1	1
151	1	2	2	2	1
152	2	2	1	2	1
153	2	1	2	1	1
154	3	2	1	2	0
155	1	1	1	1	0
156	1	1	1	2	0
157	2	1	1	1	1
158	3	2	1	1	1
159	3	3	2	1	1
160	3	3	2	2	0
161	2	3	2	2	1
162	1	2	1	1	0
163	1	3	2	1	1
164	3	2	2	1	1
165	1	2	2	2	1
166	2	2	1	2	1
167	2	1	2	1	1
168	3	2	1	2	0
169	1	1	1	1	0
170	1	1	1	2	0
171	2	1	1	1	1
172	3	2	1	1	1
173	3	3	2	1	1
174	3	3	2	2	0
175	2	3	2	2	1
176	1	2	1	1	0
177	1	3	2	1	1
178	3	2	2	1	1
179	1	2	2	2	1
180	2	2	1	2	1
181	2	1	2	1	1
182	3	2	1	2	0
183	1	1	1	1	0
184	1	1	1	2	0
185	2	1	1	1	1
186	3	2	1	1	1
187	3	3	2	1	1
188	3	3	2	2	0
189	2	3	2	2	1
190	1	2	1	1	0
191	1	3	2	1	1
192	3	2	2	1	1
193	1	2	2	2	1
194	2	2	1	2	1
195	2	1	2	1	1
196	3	2	1	2	0
197	1	1	1	1	0
198	1	1	1	2	0
199	2	1	1	1	1
200	3	2	1	1	1
201	3	3	2	1	1
202	3	3	2	2	0
203	2	3	2	2	1
204	1	2	1	1	0
205	1	3	2	1	1
206	3	2	2	1	1
207	1	2	2	2	1
208	2	2	1	2	1
209	2	1	2	1	1
210	3	2	1	2	0
211	1	1	1	1	0
212	1	1	1	2	0
213	2	1	1	1	1
214	3	2	1	1	1
215	3	3	2	1	1
216	3	3	2	2	0
217	2	3	2	2	1
218	1	2	1	1	0
219	1	3	2	1	1
220	3	2	2	1	1
221	1	2	2	2	1
222	2	2	1	2	1
223	2	1	2	1	1
224	3	2	1	2	0
225	1	1	1	1	0
226	1	1	1	2	0
227	2	1	1	1	1
228	3	2	1	1	1
229	3	3	2	1	1
230	3	3	2	2	0
231	2	3	2	2	1
232	1	2	1	1	0
233	1	3	2	1	1
234	3	2	2	1	1
235	1	2	2	2	1
236	2	2	1	2	1
237	2	1	2	1	1
238	3	2	1	2	0
239	1	1	1	1	0
240	1	1	1	2	0
241	2	1	1	1	1
242	3	2	1	1	1
243	3	3	2	1	1
244	3	3	2	2	0
245	2	3	2	2	1
246	1	2	1	1	0
247	1	3	2	1	1
248	3	2	2	1	1
249	1	2	2	2	1
250	2	2	1	2	1
251	2	1	2	1	1
252	3	2	1	2	0
253	1	1	1	1	0
254	1	1	1	2	0
255	2	1	1	1	1
256	3	2	1	1	1
257	3	3	2	1	1
258	3	3	2	2	0
259	2	3	2	2	1
260	1	2	1	1	0
261	1	3	2	1	1
262	3	2	2	1	1
263	1	2	2	2	1
264	2	2	1	2	1
265	2	1	2	1	1
266	3	2	1	2	0
267	1	1	1	1	0
268	1	1	1	2	0
269	2	1	1	1	1
270	3	2	1	1	1
271	3	3	2	1	1
272	3	3	2	2	0
273	2	3	2	2	1
274	1	2	1	1	0
275	1	3	2	1	1
276	3	2	2	1	1
277	1	2	2	2	1
278	2	2	1	2	1
279	2	1	2	1	1
280	3	2	1	2	0
281	1	1	1	1	0
282	1	1	1	2	0
283	2	1	1	1	1
284	3	2	1	1	1
285	3	3	2	1	1
286	3	3	2	2	0
287	2	3	2	2	1
288	1	2	1	1	0
289	1	3	2	1	1
290	3	2	2	1	1
291	1	2	2	2	1
292	2	2	1	2	1
293	2	1	2	1	1
294	3	2	1	2	0
295	1	1	1	1	0
296	1	1	1	2	0
297	2	1	1	1	1
298	3	2	1	1	1
299	3	3	2	1	1
300	3	3	2	2	0
301	2	3	2	2	1
302	1	2	1	1	0
303	1	3	2	1	1
304	3	2	2	1	1
305	1	2	2	2	1
306	2	2	1	2	1
307	2	1	2	1	1
308	3	2	1	2	0
309	1	1	1	1	0
310	1	1	1	2	0
311	2	1	1	1	1
312	3	2	1	1	1
313	3	3	2	1	1
314	3	3	2	2	0
315	2	3	2	2	1
316	1	2	1	1	0
317	1	3	2	1	1
318	3	2	2	1	1
319	1	2	2	2	1
320	2	2	1	2	1
321	2	1	2	1	1
322	3	2	1	2	0
323	1	1	1	1	0
324	1	1	1	2	0
325	2	1	1	1	1
326	3	2	1	1	1
327	3	3	2	1	1
328	3	3	2	2	0
329	2	3	2	2	1
330	1	2	1	1	0
331	1	3	2	1	1
332	3	2	2	1	1
333	1	2	2	2	1
334	2	2	1	2	1
335	2	1	2	1	1
336	3	2	1	2	0
337	1	1	1	1	0
338	1	1	1	2	0
339	2	1	1	1	1
340	3	2	1	1	1
341	3	3	2	1	1
342	3	3	2	2	0
343	2	3	2	2	1
344	1	2	1	1	0
345	1	3	2	1	1
346	3	2	2	1	1
347	1	2	2	2	1
348	2	2	1	2	1
349	2	1	2	1	1
350	3	2	1	2	0
351	1	1	1	1	0
352	1	1	1	2	0
353	2	1	1	1	1
354	3	2	1	1	1
355	3	3	2	1	1
356	3	3	2	2	0
357	2	3	2	2	1
358	1	2	1	1	0
359	1	3	2	1	1
360	3	2	2	1	1
361	1	2	2	2	1
362	2	2	1	2	1
363	2	1	2	1	1
364	3	2	1	2	0
365	1	1	1	1	0
366	1	1	1	2	0
367	2	1	1	1	1
368	3	2	1	1	1
369	3	3	2	1	1
370	3	3	2	2	0
371	2	3	2	2	1
372	1	2	1	1	0
373	1	3	2	1	1
374	3	2	2	1	1
375	1	2	2	2	1
376	2	2	1	2	1
377	2	1	2	1	1
378	3	2	1	2	0
379	1	1	1	1	0
380	1	1	1	2	0
381	2	1	1	1	1
